node_id,type,name,x,y,population
C01,building,第四教室楼,1009.0,849.8,2400
C02,building,第三教室楼,1220.0,729.0,2400
C03,building,艺术博物馆西,1529.7,729.0,300
C04,building,经管新楼,1006.1,589.6,900
C05,building,机械工程馆,896.8,590.0,200
C07,building,水木清华,535.1,917.6,100
C08,building,蒙民伟楼,535.9,969.9,200
C09,building,建筑馆,1372.1,350.4,300
C10,building,中央主楼,1372.1,589.2,700
D02,building,西湖游泳池,536.1,519.5,100
D04,building,法律图书馆,1005.7,454.9,200
D09,building,科技服务楼,1004.8,233.9,200
D10,building,清华附小,685.3,7.3,400
D13,building,李兆基科技大楼,1007.7,150.7,800
J04,building,汽车研究所,1524.2,1484.4,500
J05,building,34号楼,1220.0,1483.2,600
J07,building,30号楼,1220.0,1202.8,700
J10,building,自强科技楼,1529.0,1001.5,900
J11,building,电子工程馆,1718.7,1001.5,1300
J13,building,图书馆西馆,643.3,971.4,150
J14,building,图书馆老馆,783.5,969.1,200
J15,building,大礼堂,716.2,967.9,100
J16,building,第六教室楼,1220.0,851.0,2500
J17,building,工物馆,1529.7,851.0,800
J21,building,第二教室楼,716.2,743.7,2000
J22,building,第一教室楼,736.7,733.8,2200
J24,building,第五教室楼,1009.0,727.8,2200
J25,building,旧水利馆,896.4,724.3,150
J26,building,西主楼,1220.0,590.0,900
J27,building,东主楼,1529.0,590.0,700
J29,building,科学博物馆西,1579.7,589.2,200
J30,building,东1-16楼,1007.7,350.4,300
J31,building,美术学院大楼,1716.7,336.9,300
J32,building,FIT楼,1371.4,149.8,200
J41,building,32号楼,1079.0,1483.2,600
J42,building,化学馆,305.8,1282.0,1100
J43,building,蒙民伟科技大楼,1717.5,1201.2,700
J44,building,新水利馆,789.8,917.6,200
J45,building,文北楼,895.2,914.4,200
J46,building,学研大厦,1580.4,343.0,300
J47,building,环境节能楼,1578.1,152.3,150
T01,building,实验电厂,732.0,1688.8,900
T03,building,学生服务中心,1009.9,1531.6,600
T04,building,物理楼,625.8,1372.7,1200
T07,building,生物医学馆,337.9,1370.3,1200
T08,building,理科楼,304.6,1202.8,1500
T12,building,35号楼,1218.0,1372.3,600
D01,dorm,西9楼,304.2,515.1,2400
D03,dorm,中1楼,535.9,454.9,1800
D06,dorm,中5楼,535.1,388.4,1800
D07,dorm,胜因院,535.5,233.5,1600
D11,dorm,南0-4号楼,1012.0,0.0,1500
D14,dorm,西北门留学生公寓,306.2,916.0,1500
D15,dorm,六号楼研究生宿舍,304.6,806.7,900
J01,dorm,紫荆14号楼,986.9,1889.7,2000
J02,dorm,紫荆16号楼,1221.6,1886.8,2200
J36,dorm,学生区快递服务站,1041.9,1985.2,800
J38,dorm,紫荆18号楼,1288.1,1887.2,1800
J40,dorm,紫荆3号楼,823.9,1687.6,2400
T02,dorm,紫荆1号楼,826.3,1539.5,2200
T05,dorm,北区学生宿舍,732.0,1372.3,2400
T09,dorm,善斋,538.3,1200.8,1200
T10,dorm,明斋,644.5,1201.5,1200
T11,dorm,新斋,731.2,1205.7,600
D05,canteen,寓园餐厅,305.0,389.2,2200
D08,canteen,澜园餐厅,684.5,232.7,2400
J03,canteen,桃李园,879.1,1755.1,2300
J12,canteen,清芬园,1008.5,997.2,2500
J19,canteen,荷园餐厅,533.0,807.8,2100
J20,canteen,熙春园餐厅,537.1,752.8,1900
T06,canteen,丁香园,1006.1,1372.3,2500
C06,junction,二校门,735.2,587.0,0
D12,junction,南门,1368.7,0.5,0
J06,junction,听涛园,1006.1,1202.8,0
J08,junction,东棒垒球场,1529.0,1202.8,0
J09,junction,网球场,1220.0,1001.5,0
J18,junction,东3门,1717.1,851.0,0
J23,junction,艺术博物馆东,1717.1,729.0,0
J28,junction,科学博物馆东,1717.1,589.6,0
J33,junction,东北门,1687.4,1488.0,0
J34,junction,西门,69.7,515.1,0
J35,junction,西南15-20号楼,419.9,233.1,0
J37,junction,气膜体育馆,1329.3,1988.6,0
J39,junction,北门,625.8,1686.0,0
