edge_id,from,to,road_name,length_m,capacity,flow,t0_min,t_min,v_c_ratio
E026f,T06,T09,西二路,440.0,1600,3473.0,2.4444444444444446,10.584186322515786,2.170625
E034f,T07,D06,东二路,440.0,1600,3214.0,2.4444444444444446,8.414453495031278,2.00875
E027f,T09,D04,西二路,440.0,1600,2512.0,2.4444444444444446,4.672212848111112,1.57
E006b,T02,T06,南二路,330.0,1600,2391.0,1.8333333333333333,3.2047551932644054,1.494375
E035f,D06,C08,东二路,440.0,1600,1848.0,2.4444444444444446,3.0969727680069448,1.155
E007f,T02,T07,南二路,330.0,1600,1721.0,1.8333333333333333,2.201442171231935,1.075625
E033f,T01,T07,东二路,440.0,1600,1108.0,2.4444444444444446,2.5287683166462673,0.6925
E014f,D04,C04,北二路,330.0,1600,1078.0,1.8333333333333333,1.8900000182607624,0.67375
E010f,T09,C03,中路,330.0,1600,844.0,1.8333333333333333,1.8546256320159504,0.5275
E038f,T12,C07,东一路,440.0,1600,767.0,2.4444444444444446,2.4638074582726257,0.479375
E003b,T01,T05,南一路,330.0,1600,698.0,1.8333333333333333,1.8432936799892783,0.43625
E015b,C08,C04,北二路,330.0,1600,679.0,1.8333333333333333,1.8422526556923842,0.424375
E022f,T03,C06,西一路,440.0,1600,666.0,2.4444444444444446,2.4554519374075796,0.41625
E028f,D04,D02,西二路,440.0,1600,647.0,2.4444444444444446,2.454248564539715,0.404375
E009b,T09,C06,中路,440.0,1600,626.0,2.4444444444444446,2.4530363369062775,0.39125
E039f,C07,C05,东一路,440.0,1600,566.0,2.4444444444444446,2.450186365597683,0.35375
E029f,T05,T02,主干道,420.0,7000,2405.0,1.75,1.7536576106268904,0.3435714285714286
E006f,T06,T02,南二路,330.0,1600,518.0,1.8333333333333333,1.8363544799502154,0.32375
E012f,D06,C07,中路,440.0,1600,502.0,2.4444444444444446,2.447997535753933,0.31375
E005f,T03,T06,南二路,440.0,1600,500.0,2.4444444444444446,2.4479412502712674,0.3125
E023f,C06,D05,西一路,440.0,1600,480.0,2.4444444444444446,2.4474144444444446,0.3
E036f,C08,D03,东二路,440.0,1600,467.0,2.4444444444444446,2.447105531130292,0.291875
E017b,D02,C02,北一路,440.0,1600,433.0,2.4444444444444446,2.4464111669396176,0.270625
E025f,T08,T06,西二路,440.0,1600,415.0,2.4444444444444446,2.446103969778485,0.259375
E002f,T08,T05,南一路,330.0,1600,385.0,1.8333333333333333,1.8342552585228282,0.240625
E001f,T04,T08,南一路,440.0,1600,380.0,2.4444444444444446,2.4456110549587677,0.2375
E037f,T11,T12,东一路,440.0,1600,324.0,2.4444444444444446,2.445060999042101,0.2025
E011b,D06,C03,中路,330.0,1600,320.0,1.8333333333333333,1.8337733333333333,0.2
E016f,C08,C05,北二路,440.0,1600,320.0,2.4444444444444446,2.445031111111111,0.2
E020f,D03,D01,北一路,440.0,1600,308.0,2.4444444444444446,2.4449479385212673,0.1925
E013b,D04,D05,北二路,440.0,1600,286.0,2.4444444444444446,2.444818775304715,0.17875
E008b,T12,T07,南二路,440.0,1600,283.0,2.4444444444444446,2.444803314516522,0.176875
E007b,T07,T02,南二路,330.0,1600,271.0,1.8333333333333333,1.8335596569771742,0.169375
E004b,T11,T01,南一路,440.0,1600,269.0,2.4444444444444446,2.444737399245526,0.168125
E032f,C04,C01,主干道,420.0,7000,1134.0,1.75,1.7501807962281999,0.162
E005b,T06,T03,南二路,440.0,1600,231.0,2.4444444444444446,2.4446037531171894,0.144375
E008f,T07,T12,南二路,440.0,1600,223.0,2.4444444444444446,2.4445828045714535,0.139375
E018b,C01,D02,北一路,330.0,1600,221.0,1.8333333333333333,1.833433430516908,0.138125
E021f,T04,T03,西一路,440.0,1600,215.0,2.4444444444444446,2.4445639932770202,0.134375
E019f,C01,D03,北一路,330.0,1600,210.0,1.8333333333333333,1.8334149408086138,0.13125
E003f,T05,T01,南一路,330.0,1600,208.0,1.8333333333333333,1.8334118760833333,0.13
E024f,D05,C02,西一路,440.0,1600,204.0,2.4444444444444446,2.444541341854601,0.1275
E011f,C03,D06,中路,330.0,1600,189.0,1.8333333333333333,1.8333868759978649,0.118125
E040f,C05,D01,东一路,440.0,1600,163.0,2.4444444444444446,2.44448393942619,0.101875
E004f,T01,T11,南一路,440.0,1600,156.0,2.4444444444444446,2.444477579667101,0.0975
E016b,C05,C08,北二路,440.0,1600,133.0,2.4444444444444446,2.444461950893475,0.083125
E041b,T10,T05,主干道,630.0,7000,557.0,2.625,2.6250157851672378,0.07957142857142857
E012b,C07,D06,中路,440.0,1600,97.0,2.4444444444444446,2.444449397559735,0.060625
E013f,D05,D04,北二路,440.0,1600,93.0,2.4444444444444446,2.4444486297126486,0.058125
E026b,T09,T06,西二路,440.0,1600,84.0,2.4444444444444446,2.444447229979601,0.0525
E002b,T05,T08,南一路,330.0,1600,83.0,1.8333333333333333,1.833335324763734,0.051875
E001b,T08,T04,南一路,440.0,1600,79.0,2.4444444444444446,2.4444466236583677,0.049375
E029b,T02,T05,主干道,420.0,7000,256.0,1.75,1.750000469566395,0.036571428571428574
E015f,C04,C08,北二路,330.0,1600,51.0,1.8333333333333333,1.8333336172124646,0.031875
